begin,open,close,high,low,value,volume
2024-05-27 17:00:00,318.83 ,316.00 ,318.90 ,315.55 ,"3,032,396,792 ","9,571,260 "
2024-05-27 18:00:00,316.00 ,316.44 ,317.46 ,315.54 ,"1,543,940,298 ","4,875,330 "
2024-05-27 19:00:00,316.44 ,316.63 ,316.92 ,315.50 ,"724,895,050 ","2,292,470 "
2024-05-27 20:00:00,316.60 ,317.52 ,317.53 ,316.57 ,"358,086,130 ","1,128,900 "
2024-05-27 21:00:00,317.52 ,317.79 ,318.21 ,317.41 ,"381,322,680 ","1,199,870 "
2024-05-27 22:00:00,317.74 ,317.38 ,317.79 ,317.30 ,"229,970,421 ","724,320 "
2024-05-27 23:00:00,317.34 ,317.09 ,317.50 ,317.00 ,"219,274,310 ","691,240 "
2024-05-28 09:00:00,317.50 ,317.50 ,317.50 ,317.50 ,"12,490,450 ","39,340 "
2024-05-28 10:00:00,317.49 ,319.88 ,319.89 ,315.82 ,"2,465,255,144 ","7,749,730 "
2024-05-28 11:00:00,319.88 ,319.77 ,320.45 ,318.81 ,"1,324,101,762 ","4,141,580 "
2024-05-28 12:00:00,319.76 ,319.79 ,320.20 ,319.39 ,"668,798,545 ","2,091,320 "
2024-05-28 13:00:00,319.79 ,320.26 ,320.90 ,319.05 ,"792,068,436 ","2,474,020 "
2024-05-28 14:00:00,320.26 ,320.10 ,320.26 ,320.00 ,"383,753,824 ","1,198,810 "
2024-05-28 15:00:00,320.10 ,319.70 ,320.20 ,319.70 ,"454,253,476 ","1,419,820 "
2024-05-28 16:00:00,319.70 ,319.40 ,320.20 ,319.27 ,"623,520,333 ","1,949,040 "
2024-05-28 17:00:00,319.40 ,318.66 ,319.72 ,318.14 ,"877,910,620 ","2,752,590 "
2024-05-28 18:00:00,318.65 ,317.78 ,319.30 ,317.78 ,"607,508,861 ","1,908,100 "
2024-05-28 19:00:00,317.78 ,317.00 ,318.38 ,316.80 ,"589,117,784 ","1,855,190 "
2024-05-28 20:00:00,317.00 ,317.60 ,317.88 ,316.86 ,"202,919,664 ","639,260 "
2024-05-28 21:00:00,317.60 ,317.54 ,318.00 ,317.47 ,"169,980,003 ","535,020 "
2024-05-28 22:00:00,317.52 ,318.10 ,318.47 ,317.01 ,"248,519,114 ","782,210 "
2024-05-28 23:00:00,318.10 ,318.22 ,318.59 ,318.10 ,"207,475,821 ","651,760 "
2024-05-29 09:00:00,318.25 ,318.25 ,318.25 ,318.25 ,"8,777,335 ","27,580 "
2024-05-29 10:00:00,318.40 ,316.89 ,318.78 ,315.92 ,"1,669,602,585 ","5,267,330 "
2024-05-29 11:00:00,316.89 ,317.72 ,318.24 ,316.82 ,"765,913,138 ","2,411,180 "
2024-05-29 12:00:00,317.72 ,317.60 ,317.85 ,317.00 ,"242,511,406 ","763,940 "
2024-05-29 13:00:00,317.60 ,317.71 ,317.90 ,317.00 ,"311,348,313 ","980,710 "
2024-05-29 14:00:00,317.70 ,316.91 ,317.89 ,316.83 ,"284,700,915 ","897,370 "
2024-05-29 15:00:00,316.90 ,317.00 ,317.47 ,316.49 ,"374,959,313 ","1,183,260 "
2024-05-29 16:00:00,317.00 ,317.88 ,317.90 ,316.70 ,"442,445,688 ","1,393,140 "
2024-05-29 17:00:00,317.87 ,318.49 ,318.59 ,317.08 ,"968,950,237 ","3,045,910 "
2024-05-29 18:00:00,318.50 ,320.35 ,320.35 ,318.49 ,"1,368,970,707 ","4,282,190 "
2024-05-29 19:00:00,320.07 ,319.70 ,320.40 ,319.61 ,"292,748,600 ","914,830 "
2024-05-29 20:00:00,319.70 ,319.94 ,320.24 ,319.60 ,"296,514,542 ","926,380 "
2024-05-29 21:00:00,319.96 ,319.79 ,320.09 ,319.72 ,"105,962,548 ","331,260 "
2024-05-29 22:00:00,319.78 ,319.92 ,320.05 ,319.71 ,"77,136,938 ","241,170 "
2024-05-29 23:00:00,319.93 ,320.38 ,320.40 ,319.89 ,"103,432,543 ","323,010 "
2024-05-30 09:00:00,320.91 ,320.91 ,320.91 ,320.91 ,"23,734,504 ","73,960 "
2024-05-30 10:00:00,320.91 ,320.72 ,321.55 ,320.51 ,"1,247,935,323 ","3,886,940 "
2024-05-30 11:00:00,320.75 ,320.60 ,321.00 ,320.15 ,"747,492,073 ","2,330,980 "
2024-05-30 12:00:00,320.60 ,320.18 ,320.99 ,320.16 ,"260,835,562 ","813,630 "
2024-05-30 13:00:00,320.18 ,319.79 ,320.23 ,319.35 ,"564,652,636 ","1,766,450 "
